"ID","大カテゴリ","中カテゴリ","機能名","機能概要","対象ユーザ","モック実装状況","想定フェーズ","MoSCoW優先度案","想定工数","依存関係","備考"
"K-006","インフラ・運用","CI/CD","自動デプロイ（main→staging→prod）","ブランチ別デプロイ","運用","未実装","P1(初期必須)","Must","M","K-001,K-002,K-005","-"
"K-007","インフラ・運用","CI/CD","ブルーグリーン or ローリング切替","ダウンタイム最小化","運用","未実装","P3(半年内)","Could","M","K-006","Vercel/Cloudflareなら既定で対応"
"K-008","インフラ・運用","CI/CD","ヘルスチェックエンドポイント","死活確認用","運用","未実装","P1(初期必須)","Must","S","-","-"
"K-009","インフラ・運用","監視","死活監視（UptimeRobot/Pingdom）","ダウン検出","運用","未実装","P1(初期必須)","Must","S","K-008","-"
"K-010","インフラ・運用","監視","ステータスページ","インシデント周知","運用／一般ユーザ","未実装","P3(半年内)","Could","M","K-009","-"
"K-011","インフラ・運用","監視","ログ集約（CloudWatch/Loki/Logtail）","アクセスログ・アプリログ","運用","未実装","P2(リリース直後)","Should","M","K-001","-"
"K-012","インフラ・運用","監視","メトリクス（Prometheus/Datadog）","各種KPI／インフラ指標","運用","未実装","P3(半年内)","Should","L","K-011","-"
"K-013","インフラ・運用","監視","Sentryエラートラッキング","フロント／サーバのエラー収集","運用","未実装","P1(初期必須)","Must","S","-","-"
"K-014","インフラ・運用","Web3","RPCノード fallback／プロバイダ多重化","Alchemy 障害時の冗長化","運用","部分実装","P2(リリース直後)","Should","M","-","viem.ts に fallbackあり、本番構成要"
"K-015","インフラ・運用","Web3","RPC コスト監視","Alchemy使用量アラート","運用","未実装","P2(リリース直後)","Should","S","K-009","-"
"K-016","インフラ・運用","Web3","Pimlico paymaster コスト監視","ガス代肩代わりの監視","運用","未実装","P2(リリース直後)","Must","S","K-009","コミュニティ通貨では費用負担が直撃"
"K-017","インフラ・運用","CDN","CDN（Cloudflare等）","静的アセット配信","運用","未実装","P2(リリース直後)","Should","S","K-001","Vercel/Cloudflareなら標準同梱"
"K-018","インフラ・運用","DNS","DNSフェイルオーバー／TTL設計","DNS事故時の切替","運用","未実装","P3(半年内)","Could","S","K-001","-"
"K-019","インフラ・運用","ストレージ","オブジェクトストレージ（S3/R2）","アバター画像等のアップロード先","運用","未実装","P2(リリース直後)","Should","M","B-015","-"
"K-020","インフラ・運用","バックアップ","NameStone データ等の定期バックアップ","コピーの保全","運用","未実装","P2(リリース直後)","Must","M","-","-"
"K-021","インフラ・運用","運用体制","障害復旧手順書（Runbook）","インシデント対応SOP","運用","未実装","P1(初期必須)","Must","M","-","Pause手順含む"
"K-022","インフラ・運用","運用体制","オンコール体制／連絡網","障害時の連絡フロー","運営","未実装","P1(初期必須)","Must","S","K-021","-"
"K-023","インフラ・運用","運用体制","SLA／SLO定義","可用性目標の明文化","運営","未実装","P3(半年内)","Could","S","-","-"
"L-001","ブロックチェーン運用","プロバイダ","Mainnet RPC本番プラン","Alchemy 等の本番契約","運用","未実装","P1(初期必須)","Must","S","E-013","-"
"L-002","ブロックチェーン運用","プロバイダ","Pimlico 本番プラン","Bundler/Paymaster 本番契約","運用","未実装","P1(初期必須)","Must","S","E-013","-"
"L-003","ブロックチェーン運用","インデクサー","Goldsky Subgraph 本番プラン","Subgraph 本番契約","運用","未実装","P1(初期必須)","Must","S","F-003","-"
"L-004","ブロックチェーン運用","ガバナンス","Admin ロールの Multisig（Safe）化","DEFAULT_ADMIN_ROLE をSafeへ","運営","未実装","P1(初期必須)","Must","M","E-013","単一EOAは事故リスク大"
"L-005","ブロックチェーン運用","ガバナンス","Timelock 導入（重要admin操作）","変更を遅延させ告知期間を確保","運営","未実装","P2(リリース直後)","Should","M","L-004","-"
"L-006","ブロックチェーン運用","ガバナンス","Adminキーの秘密鍵管理（HSM/KMS/Hardware Wallet）","署名鍵の物理的保護","運営","未実装","P1(初期必須)","Must","M","L-004","-"
"L-007","ブロックチェーン運用","ガバナンス","緊急 Pause 手順書","Router.pause を即時に実行できる体制","運営","未実装","P1(初期必須)","Must","S","D-008,K-021","-"
"L-008","ブロックチェーン運用","運用","オンチェーン異常監視（大口送金・連続送金等）","Forta／Tenderly等","運営","未実装","P3(半年内)","Should","M","K-012","-"
"L-009","ブロックチェーン運用","運用","ガス価格高騰時の運用ポリシー","Paymaster コスト爆発の閾値","運営","未実装","P2(リリース直後)","Should","S","K-016","-"
"L-010","ブロックチェーン運用","運用","トランザクション失敗の監視・原因分類","Pimlico/RPC ベースの失敗集計","運営","未実装","P2(リリース直後)","Should","M","K-013","-"
"L-011","ブロックチェーン運用","コミュニケーション","チェーン切替・ハードフォーク対応手順","Mainnet運用での想定外イベント","運営","未実装","P3(半年内)","Could","S","-","-"
"M-001","テスト・QA","コントラクト","Hardhat / Forge テスト","現行のテスト群","-","実装済","P1(初期必須)","Must","-","-","TS+Forge 約3000行"
"M-002","テスト・QA","コントラクト","コントラクトカバレッジレポート","網羅率の可視化","-","未実装","P2(リリース直後)","Should","S","M-001","-"
"M-003","テスト・QA","コントラクト","Fuzz / Invariant テスト追加","ランダム入力での不変式","-","未実装","P2(リリース直後)","Should","M","M-001","-"
"M-004","テスト・QA","フロントエンド","Vitest ユニットテスト","純関数（配分計算等）の検証","-","未実装","P1(初期必須)","Must","M","-","現状0件"
"M-005","テスト・QA","フロントエンド","Hook テスト（React Testing Library）","重要hookの検証","-","未実装","P2(リリース直後)","Should","M","M-004","-"
"M-006","テスト・QA","フロントエンド","コンポーネントテスト","UIプリミティブの動作確認","-","未実装","P2(リリース直後)","Should","M","M-004","Ladleと役割分担"
"M-007","テスト・QA","E2E","Playwright E2E","ログイン〜送金のE2E","-","未実装","P1(初期必須)","Must","L","K-002","-"
"M-008","テスト・QA","視覚回帰","Chromatic／Ladle visual diff","UI回帰防止","-","未実装","P3(半年内)","Could","M","M-006","-"
"M-009","テスト・QA","インデクサー","matchstick subgraph テスト","mapping のユニットテスト","-","未実装","P2(リリース直後)","Should","M","F-001","-"
"M-010","テスト・QA","負荷","k6／Artillery 負荷テスト","RPC・Paymaster・Subgraphの限界把握","-","未実装","P3(半年内)","Could","M","K-001","-"
"M-011","テスト・QA","脆弱性","脆弱性スキャン（snyk/trivy）","依存・コンテナの脆弱性","-","未実装","P2(リリース直後)","Should","S","K-005","-"
"M-012","テスト・QA","ドキュメント","QAテストケース文書","リリース前手動QAリスト","運営／QA","未実装","P1(初期必須)","Must","M","-","-"
"M-013","テスト・QA","ドキュメント","リリース前チェックリスト","本番昇格時のゲート","運営","未実装","P1(初期必須)","Must","S","M-012","-"
"M-014","テスト・QA","Storybook","Ladle ストーリー","UI プリミティブのカタログ","-","実装済","P2(リリース直後)","Should","-","-","13ファイル"
"M-015","テスト・QA","Storybook","Ladle カバレッジ拡大","ページ／フィーチャー単位のストーリー追加","-","部分実装","P3(半年内)","Could","M","M-014","現状はプリミティブのみ"
"N-001","開発基盤","品質","Biome lint/format","コードスタイル統一","-","実装済","P1(初期必須)","Must","-","-","biome.json"
"N-002","開発基盤","品質","TypeScript strict","型厳格化","-","実装済","P1(初期必須)","Must","-","-","frontend/contract共にtrue"
"N-003","開発基盤","品質","Husky pre-commit hook","コミット前 lint/typecheck","-","未実装","P2(リリース直後)","Should","S","-","-"
"N-004","開発基盤","品質","commitlint（Conventional Commits 強制）","コミットメッセージ規約","-","未実装","P2(リリース直後)","Should","S","-","CONTRIBUTING.mdで提示済だが自動化なし"
"N-005","開発基盤","品質","lint-staged","変更ファイルだけ lint","-","未実装","P3(半年内)","Could","S","N-003","-"
"N-006","開発基盤","CI","PR自動チェック（lint+test+typecheck+build）","品質ゲート","-","未実装","P1(初期必須)","Must","M","K-005","-"
"N-007","開発基盤","環境",".env.example の本番値網羅","必要な環境変数の最新化","-","部分実装","P1(初期必須)","Must","S","K-009","-"
"N-008","開発基盤","環境","Feature Flag（LaunchDarkly/Unleash等）","段階リリース・キルスイッチ","運営","未実装","P3(半年内)","Could","M","-","-"
"N-009","開発基盤","リリース","CHANGELOG／リリースノート自動生成","Conventional Commits → CHANGELOG","-","未実装","P3(半年内)","Could","S","N-004","-"
"N-010","開発基盤","リリース","セマンティックバージョニング","semver","-","未実装","P3(半年内)","Could","S","-","-"
"N-011","開発基盤","モノレポ","パッケージ間共通型（zod schemas等）","フロント／インデクサー間の型共有","-","未実装","P3(半年内)","Could","M","-","-"
"N-012","開発基盤","コード生成","graphql-codegen","GraphQL型自動生成","-","実装済","P1(初期必須)","Must","-","-","-"
"N-013","開発基盤","コード生成","contract→frontend ABI同期自動化","ABI更新時の整合性","-","部分実装","P2(リリース直後)","Should","S","-","現状コピー手動の可能性"
"N-014","開発基盤","運用","タイムゾーン統一（UTC）方針","表示／保存の規約","-","未実装","P2(リリース直後)","Should","S","-","-"
"N-015","開発基盤","ドキュメント","CONTRIBUTING.md","開発者向け","開発","実装済","P1(初期必須)","Must","-","-","-"
"N-016","開発基盤","ドキュメント","アーキテクチャ図／決定記録（ADR）","設計判断の文書化","開発","未実装","P2(リリース直後)","Should","M","-","-"
"O-001","データ取扱","ポリシー","個人情報取扱方針／PII最小化","収集する個人情報の限定","運営／法務","未実装","P1(初期必須)","Must","M","H-002","-"
"O-002","データ取扱","ポリシー","個人情報取扱責任者の明示","プラポリ記載とフロー整備","運営","未実装","P1(初期必須)","Must","S","H-002","-"
"O-003","データ取扱","コンプラ","本人による開示請求対応フロー","個人情報保護法／GDPR","運営","未実装","P2(リリース直後)","Should","M","O-001","-"
"O-004","データ取扱","コンプラ","本人によるデータ削除請求対応","退会時のデータ消去（オフチェーン）","運営","未実装","P2(リリース直後)","Should","M","B-016","-"
"O-005","データ取扱","コンプラ","オンチェーンデータと法的削除要求のギャップ説明","ブロックチェーンに残る情報の利用者周知","運営／法務","未実装","P1(初期必須)","Must","S","H-002","-"
"O-006","データ取扱","コンプラ","利用ログ保持期間ポリシー","期間明示と自動削除","運営","未実装","P2(リリース直後)","Should","M","K-011","-"
"O-007","データ取扱","コンプラ","第三者提供記録／同意取得","NameStone・Privy等の外部サービス開示","運営","未実装","P1(初期必須)","Must","S","H-002","-"
"O-008","データ取扱","コンプラ","KYC（本人確認）","必要となる場合の方針整理","運営","未実装","P4(1年内)","Could","XL","-","コミュニティ通貨の規模・規制次第。当面はWont候補"
"O-009","データ取扱","コンプラ","AMLスクリーニング","必要となる場合の方針整理","運営","未実装","P4(1年内)","Could","XL","O-008","規制・規模次第。当面はWont候補"
"O-010","データ取扱","コンプラ","NameStoneバックアップ","オフチェーンプロフィールの保全","運営","未実装","P2(リリース直後)","Should","M","K-019,K-020","-"
